,station_name,lat,long,number_lines
0,ADMIRALTY MRT STATION,1.440585001,103.8009982,1
1,ALJUNIED MRT STATION,1.316432612,103.882893,1
2,ANG MO KIO MRT STATION,1.369933175,103.8495535,1
3,BAKAU LRT STATION,1.388092704,103.9054179,1
4,BANGKIT LRT STATION,1.380017897,103.7726667,1
5,BARTLEY MRT STATION,1.342828338,103.8797462,1
6,BAYFRONT MRT STATION,1.281873788,103.8590733,2
7,BEAUTY WORLD MRT STATION,1.341223176,103.77581,1
8,BEDOK MRT STATION,1.323979969,103.9299587,1
9,BEDOK NORTH MRT STATION,1.334742117,103.9179554,1
10,BEDOK RESERVOIR MRT STATION,1.33660783,103.9322077,1
11,BENCOOLEN MRT STATION,1.29886427,103.8503799,1
12,BENDEMEER MRT STATION,1.313672233,103.8629702,1
13,BISHAN MRT STATION,1.3510738340000001,103.8486449,2
14,BOON KENG MRT STATION,1.319395706,103.861679,1
15,BOON LAY MRT STATION,1.338604054,103.7060994,1
16,BOTANIC GARDENS MRT STATION,1.322267086,103.8155619,2
17,BRADDELL MRT STATION,1.340471684,103.8467942,1
18,BRAS BASAH MRT STATION,1.296861687,103.8506629,1
19,BUANGKOK MRT STATION,1.382877858,103.8931042,1
20,BUGIS MRT STATION,1.300007911,103.8562815,2
21,BUKIT BATOK MRT STATION,1.349034109,103.74959,1
22,BUKIT BROWN MRT STATION,1.333728882,103.8306903,1
23,BUKIT GOMBAK MRT STATION,1.358761857,103.7519164,1
24,BUKIT PANJANG LRT STATION,1.377909898,103.763034,1
25,BUKIT PANJANG MRT STATION,1.379002117,103.7615559,1
26,BUONA VISTA MRT STATION,1.306837568,103.79043365000001,2
27,CALDECOTT MRT STATION,1.337674508,103.8395281,1
28,CANBERRA MRT STATION,1.4431,103.8297,1
29,CASHEW MRT STATION,1.369369831,103.764714,1
30,CHANGI AIRPORT MRT STATION,1.357314545,103.9883212,1
31,CHENG LIM LRT STATION,1.396277631,103.8937792,1
32,CHINATOWN MRT STATION,1.2845542735,103.8439363,2
33,CHINESE GARDEN MRT STATION,1.342352821,103.7326244,1
34,CHOA CHU KANG LRT STATION,1.38483636,103.7445797,1
35,CHOA CHU KANG MRT STATION,1.385361693,103.744367,1
36,CITY HALL MRT STATION,1.292936243,103.852581,2
37,CLARKE QUAY MRT STATION,1.288386024,103.8465519,1
38,CLEMENTI MRT STATION,1.314954492,103.7653168,1
39,COMMONWEALTH MRT STATION,1.302438735,103.7983136,1
40,COMPASSVALE LRT STATION,1.394493046,103.9004726,1
41,CORAL EDGE LRT STATION,1.393909226,103.9125574,1
42,COVE LRT STATION,1.399281985,103.9059403,1
43,DAKOTA MRT STATION,1.30838264,103.888648,1
44,DAMAI LRT STATION,1.405234836,103.9085809,1
45,DHOBY GHAUT MRT STATION,1.2990831939999998,103.84594426666666,3
46,DOVER MRT STATION,1.311405293,103.7786522,1
47,DOWNTOWN MRT STATION,1.27944619,103.8528356,1
48,ESPLANADE MRT STATION,1.293321608,103.8554985,1
49,EUNOS MRT STATION,1.319778952,103.9032339,1
50,EXPO MRT STATION,1.3349659575000001,103.96192705,2
51,FAJAR LRT STATION,1.384520796,103.7708268,1
52,FARMWAY LRT STATION,1.397170196,103.8892882,1
53,FARRER PARK MRT STATION,1.31235984,103.8541717,1
54,FARRER ROAD MRT STATION,1.317510612,103.8075929,1
55,FERNVALE LRT STATION,1.391885888,103.8762959,1
56,FORT CANNING MRT STATION,1.292478928,103.8443255,1
57,GEYLANG BAHRU MRT STATION,1.321505838,103.8718904,1
58,GUL CIRCLE MRT STATION,1.319505215,103.6605988,1
59,HARBOURFRONT MRT STATION,1.26547264,103.821446,2
60,HAW PAR VILLA MRT STATION,1.282542157,103.7818234,1
61,HILLVIEW MRT STATION,1.362344869,103.7674369,1
62,HOLLAND VILLAGE MRT STATION,1.31183479,103.7962016,1
63,HOUGANG MRT STATION,1.371292292,103.8923636,1
64,JALAN BESAR MRT STATION,1.305403642,103.8554713,1
65,JELAPANG LRT STATION,1.386703025,103.7645235,1
66,JOO KOON MRT STATION,1.327717173,103.6784167,1
67,JURONG EAST MRT STATION,1.33315262,103.7423112,2
68,KADALOOR LRT STATION,1.399584853,103.9164619,1
69,KAKI BUKIT MRT STATION,1.334967302,103.9084393,1
70,KALLANG MRT STATION,1.31148891,103.8713766,1
71,KANGKAR LRT STATION,1.383978902,103.9021539,1
72,KEAT HONG LRT STATION,1.378602766,103.7490799,1
73,KEMBANGAN MRT STATION,1.321038249,103.9129282,1
74,KENT RIDGE MRT STATION,1.293462633,103.7846438,1
75,KHATIB MRT STATION,1.41738337,103.83298,1
76,KING ALBERT PARK MRT STATION,1.335665121,103.7838201,1
77,KOVAN MRT STATION,1.360179171,103.8850503,1
78,KRANJI MRT STATION,1.425177699,103.7621874,1
79,KUPANG LRT STATION,1.398212828,103.881242,1
80,LABRADOR PARK MRT STATION,1.272332732,103.8029471,1
81,LAKESIDE MRT STATION,1.344259249,103.7209802,1
82,LAVENDER MRT STATION,1.30735702,103.8628215,1
83,LAYAR LRT STATION,1.392079839,103.8800158,1
84,LITTLE INDIA MRT STATION,1.3055573535,103.8504987,2
85,LORONG CHUAN MRT STATION,1.351612171,103.8641434,1
86,MACPHERSON MRT STATION,1.3262111275000001,103.88980369999999,2
87,MARINA BAY MRT STATION,1.276288996,103.85484055,2
88,MARINA SOUTH PIER MRT STATION,1.271336711,103.8628525,1
89,MARSILING MRT STATION,1.432514421,103.77409,1
90,MARYMOUNT MRT STATION,1.348707263,103.8394214,1
91,MATTAR MRT STATION,1.326876715,103.8832341,1
92,MERIDIAN LRT STATION,1.396912053,103.9089277,1
93,MOUNTBATTEN MRT STATION,1.306201905,103.8825153,1
